ARTIST,TITLE,UNIFIED_SONG_ID,DATE,RELEASE_DATE,THIS_DAY,THIS_WEEK,DAYS_SINCE_RELEASE,DAY_OF_WEEK,RN,END_OF_WEEK,POPULARITY,IG_FOLLOWER_COUNT,TT_FOLLOWER_COUNT,IGFOLDAY0,IGFOLDAY1,IGFOLDAY2,IGFOLDAY3,IGFOLDAY4,IGFOLDAY5,IGFOLDAY6,TTFOLDAY0,TTFOLDAY1,TTFOLDAY2,TTFOLDAY3,TTFOLDAY4,TTFOLDAY5,TTFOLDAY6,DAY_0,DAY_1,DAY_2,DAY_3,DAY_4,DAY_5,DAY_6,TARGET
Kylie Minogue,Love At First Sight,8470606,2019-07-04,2019-06-28T00:00:00.000Z,6558,42494,6,6,1,true,4,1922363,,1922363,,,1918148,1910533,1909554,,,,,,,,,6558,7697,8074,7834,6940,8008,8949,43166
Alec Benjamin,Paper Crown,9426641,2022-12-08,2022-12-02T00:00:00.000Z,79724,470,6,6,1,true,52,1830550,4300000,1830550,1830153,1829709,1829617,1829265,1828798,1828666,4300000,4300000,4300000,4300000,4300000,4300000,4300000,79724,91533,90001,79823,59811,58348,71398,405038
Aretha Franklin,Won't Be Long,11537212,2021-08-05,2021-07-30T00:00:00.000Z,1972,6783,6,6,1,true,23,135885,,135885,135766,135618,135618,135284,135187,135035,,,,,,,,1972,1937,2079,2024,1869,2115,1836,10030
George Michael & Aretha Fran,I Knew You Were Waiting (For Me),12446342,2021-08-05,2021-07-30T00:00:00.000Z,23031,151958,6,6,1,true,60,135885,,135885,135766,135618,,,135187,135035,,,,,,,,23031,21716,21152,20861,21974,23647,22618,172494
Fat Trel,She Fell In Love,13325171,2019-10-31,2019-10-25T00:00:00.000Z,1014,6614,6,6,1,true,1,,,,,,,,,,,,,,,,,1014,941,894,938,804,929,1023,6878
Various Artists,Heaven or Hell,13424648,2020-03-19,2020-03-13T00:00:00.000Z,9496,77397,6,6,1,true,54,694823,,694823,694823,687685,680547,662550,628994,616037,,,,,,,,9496,9123,9308,9774,9100,10494,12525,71864
Foy Vance,Guiding Light,22865756,2020-12-24,2020-12-18T00:00:00.000Z,1749,14855,6,6,1,true,11,57063,,57063,57065,57024,57013,56987,56951,56951,,,,,,,,1749,1984,2198,2075,1804,1958,2098,15251
Foy Vance,Be With Me,27806907,2019-07-04,2019-06-28T00:00:00.000Z,889,1299,6,6,1,true,19,43548,,43548,43531,43491,43503,43416,43345,43339,,,,,,,,889,1246,1195,1296,1077,1547,2148,8772
3OH!3,Double Vision,27833907,2020-11-26,2020-11-20T00:00:00.000Z,4583,40875,6,6,1,true,1,41756,,41756,41724,41709,41678,41649,41568,41415,,,,,,,,4583,6098,5619,5316,5001,5798,6129,35047
P.O.D.,Sleeping Awake (2006 Remastere,27919731,2020-03-12,2020-03-06T00:00:00.000Z,1726,12458,6,6,1,true,0,154763,,154763,154772,154748,154716,154680,154644,154604,,,,,,,,1726,1851,1829,1744,1313,1621,1934,10690
P.O.D.,Set Your Eyes to Zion,27922807,2019-05-02,2019-04-26T00:00:00.000Z,926,6008,6,6,1,true,0,139225,,139225,139192,139132,139065,139012,138935,138878,,,,,,,,926,947,930,919,667,819,875,6486
Kylie Minogue,Slow,27928608,2019-05-02,2019-04-26T00:00:00.000Z,1393,7963,6,6,1,true,0,1881249,,1881249,1881043,1880937,1880720,1880445,1880126,1880256,,,,,,,,1393,1250,1157,1117,1044,1154,1281,8990
Donny Hathaway,This Christmas,27940575,2019-12-05,2019-11-29T00:00:00.000Z,497719,2054477,6,6,1,true,16,,,,,,,,,,,,,,,,,497719,489085,476829,448034,468697,438657,398339,4139747
Corrs,What Can I Do,27958041,2020-05-07,2020-05-01T00:00:00.000Z,2379,15993,6,6,1,true,0,47871,,47871,47851,47851,47732,47672,47673,47591,,,,,,,,2379,2459,2470,2149,2045,2158,2314,15668
Surf Curse,Freaks,27977844,2021-11-11,2021-11-05T00:00:00.000Z,501346,3282005,6,6,1,true,50,154565,,154565,154528,153793,153411,153106,152841,152658,,,,,,,,501346,503004,505570,517212,470299,476669,522172,3263945
Doobie Brothers,Here To Love You,27979466,2020-01-02,2019-12-27T00:00:00.000Z,2211,11492,6,6,1,true,0,,,,,,,,,,,,,,,,,2211,1992,2498,1995,1618,2014,2039,15909
JoJo,Disaster,28249067,2018-12-27,2018-12-21T00:00:00.000Z,6775,,6,6,1,true,34,,,,,,,,,,,,,,,,,6775,6511,5125,7802,9955,,,33911
Alanis Morissette,Not As We,28961330,2020-01-16,2020-01-10T00:00:00.000Z,1603,10039,6,6,1,true,0,511654,,511654,511772,511100,510710,510428,509973,509304,,,,,,,,1603,1481,1404,1410,1221,1371,1535,10080
Little Boots,Remedy,28973137,2020-08-06,2020-07-31T00:00:00.000Z,833,5767,6,6,1,true,0,28011,,28011,28002,,27990,27991,28001,28008,,,,,,,,833,834,928,952,880,1012,1054,5756
Kylie Minogue,On a Night Like This,29027376,2020-07-16,2020-07-10T00:00:00.000Z,973,7064,6,6,1,true,0,2058007,,2058007,2057864,2057612,2057391,2057102,2057102,2056796,,,,,,,,973,1005,1009,942,1028,1056,983,9397
Wiz Khalifa,Be Easy,29042700,2023-03-02,2023-02-24T00:00:00.000Z,11485,2326,6,6,1,true,21,,,,,11061,,11060,11060,,,,,,,,,11485,13228,15055,14569,10768,14856,23094,38525
Alanis Morissette,Wake Up (Acoustic Album Versio,29470260,2019-01-24,2019-01-18T00:00:00.000Z,2700,18852,6,6,1,true,3,381360,,381360,381284,381236,381115,381004,380887,380780,,,,,,,,2700,2663,2567,2383,2110,2587,3127,19657
Trey Songz,Bomb (A.P.),30819780,2020-04-30,2020-04-24T00:00:00.000Z,8695,233,6,6,1,true,24,11920712,,11920712,11923300,11922252,11918863,11915121,11911906,11907763,,,,,,,,8695,9133,10060,10766,11231,16383,27075,34420
Trey Songz,Does She Know [explicit],30941947,2020-04-30,2020-04-24T00:00:00.000Z,5205,114,6,6,1,true,23,11920712,,11920712,11923300,11922252,11918863,11915121,11911906,11907763,,,,,,,,5205,5230,6398,6683,7031,11100,20089,22074
Trey Songz,Flights & Skype,31000809,2020-04-30,2020-04-24T00:00:00.000Z,9615,206,6,6,1,true,20,11920712,,11920712,11923300,11922252,11918863,11915121,11911906,11907763,,,,,,,,9615,9137,10501,11202,11320,17965,32472,27596
