ARTIST,TITLE,UNIFIED_SONG_ID,DATE,RELEASE_DATE,THIS_DAY,THIS_WEEK,DAYS_SINCE_RELEASE,DAY_OF_WEEK,RN,END_OF_WEEK,POPULARITY,SPOTIFY_FOLLOWER_COUNT,SPOTIFY_LISTENERS_COUNT,SPFOLDAY0,SPFOLDAY1,SPFOLDAY2,SPFOLDAY3,SPFOLDAY4,SPFOLDAY5,SPFOLDAY6,SPLISDAY0,SPLISDAY1,SPLISDAY2,SPLISDAY3,SPLISDAY4,SPLISDAY5,SPLISDAY6,DAY_0,DAY_1,DAY_2,DAY_3,DAY_4,DAY_5,DAY_6,TARGET,IG_FOLLOWER_COUNT,IGFOLDAY0,IGFOLDAY1,IGFOLDAY2,IGFOLDAY3,IGFOLDAY4,IGFOLDAY5,IGFOLDAY6
Roddy Ricch,Thailand,166121290,2021-12-16,2021-12-16T00:00:00.000Z,1219,,0,6,1,true,24,7188085,18372012,7188085,,,,,,,18372012,,,,,,,1219,,,,,,,5692765,6582940,6582940,,,,,,
Roddy Ricch,Don't I,166121291,2021-12-16,2021-12-16T00:00:00.000Z,736,,0,6,1,true,16,3676439,23583522,3676439,,,,,,,23583522,,,,,,,736,,,,,,,4260748,6582940,6582940,,,,,,
Roddy Ricch,Rollercoastin,166121292,2021-12-16,2021-12-16T00:00:00.000Z,989,,0,6,1,true,20,7188085,18372012,7188085,,,,,,,18372012,,,,,,,989,,,,,,,3786496,6582940,6582940,,,,,,
Roddy Ricch,Murda One,166121293,2021-12-16,2021-12-16T00:00:00.000Z,699,,0,6,1,true,10,718671,9627053,718671,,,,,,,9627053,,,,,,,699,,,,,,,3128457,6582940,6582940,,,,,,
Roddy Ricch,Everything U Need,166121294,2021-12-16,2021-12-16T00:00:00.000Z,649,,0,6,1,true,17,7188085,18372012,7188085,,,,,,,18372012,,,,,,,649,,,,,,,2773467,6582940,6582940,,,,,,
Roddy Ricch,25 Million,166121295,2021-12-16,2021-12-16T00:00:00.000Z,8394,0,0,6,1,true,27,7188085,18372012,7188085,,,,,,,18372012,,,,,,,8394,,,,,,,7195037,6582940,6582940,,,,,,
Roddy Ricch,Slow It Down,166121297,2021-12-16,2021-12-16T00:00:00.000Z,690,,0,6,1,true,13,85979,1587109,85979,,,,,,,1587109,,,,,,,690,,,,,,,2676834,112364,112364,,,,,,
Roddy Ricch,Bibi's Interlude,166121298,2021-12-16,2021-12-16T00:00:00.000Z,390,,0,6,1,true,9,7188085,18372012,7188085,,,,,,,18372012,,,,,,,390,,,,,,,1911407,6582940,6582940,,,,,,
Sidepiece,Sextacy,166121305,2022-01-20,2022-01-14T00:00:00.000Z,23491,8,6,6,1,true,53,27774,4927548,27774,27685,27596,27512,27412,27293,27218,4927548,4904403,4886185,4869109,4848836,4826849,4835166,23491,23866,23548,22224,21355,29836,33545,152216,26642,26642,26616,26561,26556,26501,26442,26401
Bennett (US),When It's Too Good,166121325,2022-01-06,2022-01-06T00:00:00.000Z,23,,0,6,1,true,3,6342,134562,6342,,,,,,,134562,,,,,,,23,,,,,,,59773,10113,10113,,,,,,
