TERRITORY,COUNTRY_CODE,SUBS
LOS ANGELES,US,2330
NEW YORK,US,1707
SAN ANTONIO,US,1594
DALLAS-FT. WORTH,US,1577
ALBUQUERQUE-SANTA FE,US,1541
SAN FRANCISCO-OAK-SAN JOSE,US,1052
CHICAGO,US,847
SEATTLE-TACOMA,US,809
MADISON,US,596
CORPUS CHRISTI,US,586
"WASHINGTON, DC (HAGRSTWN)",US,526
Ciudad de MÃ©xico,MX,526
HOUSTON,US,404
Toronto,CA,397
SALT LAKE CITY,US,361
Monterrey,MX,329
PARKERSBURG,US,329
CHARLESTON-HUNTINGTON,US,313
DENVER,US,311
Guadalajara,MX,285
Puebla,MX,268
BOSTON (MANCHESTER),US,262
Vancouver,CA,254
NASHVILLE,US,252
SAN DIEGO,US,244
PHILADELPHIA,US,226
MEDFORD-KLAMATH FALLS,US,184
PHOENIX (PRESCOTT),US,178
Montreal,CA,162
MINNEAPOLIS-ST. PAUL,US,159
"PORTLAND, OR",US,156
MIAMI-FT. LAUDERDALE,US,155
SACRAMNTO-STKTON-MODESTO,US,147
LAS VEGAS,US,138
"SPRINGFIELD, MO",US,132
MILWAUKEE,US,132
WHEELING-STEUBENVILLE,US,128
KNOXVILLE,US,128
AUSTIN,US,125
WILKES BARRE-SCRANTON-HZTN,US,122
BURLINGTON-PLATTSBURGH,US,121
ATLANTA,US,118
Toluca,MX,115
DETROIT,US,113
PITTSBURGH,US,112
HARLINGEN-WSLCO-BRNSVL-MCA,US,106
BLUEFIELD-BECKLEY-OAK HILL,US,103
ORLANDO-DAYTONA BCH-MELBRN,US,102
SHREVEPORT,US,100
,MX,96
WAUSAU-RHINELANDER,US,91
Cuernavaca,MX,90
CHARLOTTE,US,88
RALEIGH-DURHAM (FAYETVLLE),US,85
BUFFALO,US,85
Tijuana,MX,83
SANTABARBRA-SANMAR-SANLUOB,US,81
Morelia,MX,81
TAMPA-ST. PETE (SARASOTA),US,80
ST. LOUIS,US,80
San Luis Potosi,MX,77
ERIE,US,73
WEST PALM BEACH-FT. PIERCE,US,70
Ecatepec de Morelos,MX,66
Naucalpan de JuÃ¡rez,MX,65
Tlalnepantla de Baz,MX,65
YAKIMA-PASCO-RCHLND-KNNWCK,US,64
KANSAS CITY,US,62
Zapopan,MX,62
GREEN BAY-APPLETON,US,61
CLEVELAND-AKRON (CANTON),US,57
CancÃºn,MX,56
CINCINNATI,US,52
NORFOLK-PORTSMTH-NEWPT NWS,US,51
Pachuca,MX,51
Mexicali,MX,50
RICHMOND-PETERSBURG,US,50
BALTIMORE,US,49
WICHITA-HUTCHINSON PLUS,US,49
Aguascalientes,MX,48
HARRISBURG-LNCSTR-LEB-YORK,US,47
Centro,MX,47
TYLER-LONGVIEW(LFKN&NCGD),US,46
Huixquilucan de Degollado,MX,46
CLARKSBURG-WESTON,US,46
Metepec,MX,45
INDIANAPOLIS,US,45
,US,45
Calgary,CA,45
SIOUX FALLS(MITCHELL),US,44
GREENVLL-SPART-ASHEVLL-AND,US,44
LA CROSSE-EAU CLAIRE,US,43
"COLUMBUS, OH",US,43
SPOKANE,US,42
MONTEREY-SALINAS,US,42
ROANOKE-LYNCHBURG,US,41
HONOLULU,US,41
Chihuahua,MX,40
Oaxaca,MX,40
CuautitlÃ¡n Izcalli,MX,38
HARTFORD & NEW HAVEN,US,38
ALBANY-SCHENECTADY-TROY,US,37
TALLAHASSEE-THOMASVILLE,US,34
Heroica Veracruz,MX,34
FRESNO-VISALIA,US,33
Ciudad Nezahualcoyotl,MX,33
NEW ORLEANS,US,32
Celaya,MX,32
Ciudad Adolfo LÃ³pez Mateos,MX,31
Ottawa,CA,29
Edmonton,CA,29
PROVIDENCE-NEW BEDFORD,US,28
GRAND RAPIDS-KALMZOO-B.CRK,US,28
Hermosillo,MX,28
TultitlÃ¡n de Mariano Escobedo,MX,27
RENO,US,27
Mississauga,CA,27
OKLAHOMA CITY,US,27
PALM SPRINGS,US,27
London,CA,26
DES MOINES-AMES,US,26
San Pedro Garza GarcÃ­a,MX,24
EL PASO (LAS CRUCES),US,23
Guanajuato,MX,23
JACKSONVILLE,US,23
DULUTH-SUPERIOR,US,22
TorreÃ³n,MX,22
MontrÃ©al,CA,22
TUCSON (SIERRA VISTA),US,22
Xalapa,MX,21
Puebla (Heroica Puebla),MX,21
"CHARLESTON, SC",US,20
WACO-TEMPLE-BRYAN,US,20
AMARILLO,US,19
COLORADO SPRINGS-PUEBLO,US,19
LINCOLN & HASTINGS-KRNY,US,19
Ciudad JuÃ¡rez,MX,19
Puerto Escondido,MX,19
SYRACUSE,US,19
Victoria,CA,19
PORTLAND-AUBURN,US,18
Puerto Vallarta,MX,18
ELMIRA (CORNING),US,17
CuautitlÃ¡n,MX,17
Tlaxcala,MX,16
BINGHAMTON,US,16
QuerÃ©taro,MX,16
"ROCHESTER, NY",US,16
Saltillo,MX,16
La Paz,MX,15
Irapuato,MX,15
LOUISVILLE,US,14
Playa del Carmen,MX,14
Winnipeg,CA,14
"COLUMBIA, SC",US,14
Guadalupe,MX,13
Hamilton,CA,13
MINOT-BSMRCK-DCKNSN(WLSTN),US,13
Toluca de Lerdo,MX,13
YUMA-EL CENTRO,US,13
JOHNSTOWN-ALTOONA-ST COLGE,US,13
TULSA,US,13
LEXINGTON,US,13
Tecamac de Felipe Villanueva,MX,12
MISSOULA,US,12
WATERTOWN,US,12
LITTLE ROCK-PINE BLUFF,US,12
DAYTON,US,12
Morelos,MX,12
ROCKFORD,US,12
SAN ANGELO,US,11
RAPID CITY,US,11
Burlington,CA,11
Kelowna,CA,11
BIRMINGHAM (ANN AND TUSC),US,11
TOLEDO,US,11
Campeche,MX,11
GREAT FALLS,US,11
BAKERSFIELD,US,11
MEMPHIS,US,11
GREENSBORO-H.POINT-W.SALEM,US,11
EUGENE,US,11
San Miguel de Allende,MX,10
San AndrÃ©s Cholula,MX,10
Ãlvaro ObregÃ³n,MX,10
North Vancouver,CA,10
DAVENPORT-R.ISLAND-MOLINE,US,10
PADUCAH-CAPE GIRARD-HARSBG,US,10
FARGO,US,10
Ixtapaluca,MX,10
BOISE,US,10
"TRI-CITIES, TN-VA",US,10
MOBILE-PENSACOLA (FT WALT),US,10
MARQUETTE,US,10
ChimalhuacÃ¡n,MX,10
TOPEKA,US,10
Cabo San Lucas,MX,10
FT. MYERS-NAPLES,US,9
Tuxtla GutiÃ©rrez,MX,9
MYRTLE BEACH-FLORENCE,US,9
Ensenada,MX,9
Tlalpan,MX,9
SOUTH BEND-ELKHART,US,9
Colonia CuauhtÃ©moc,MX,9
North York,CA,9
Villahermosa,MX,9
San Luis PotosÃ­,MX,9
LANSING,US,9
Tampico,MX,9
Surrey,CA,9
